"ID";"observation_time";"temperature";"wind_speed";"pressure";"humidity"
357;"2025-11-03 15:35";10;0;958;75
358;"2025-11-03 16:35";8;1;958;80
359;"2025-11-03 16:35";8;1;958;80
360;"2025-11-03 18:35";5;1;960;85
361;"2025-11-03 19:35";4;1;960;83
362;"2025-11-03 20:35";4;1;961;81
363;"2025-11-03 21:36";3;1;962;80
364;"2025-11-03 22:36";3;1;962;75
365;"2025-11-03 23:36";3;1;962;75
366;"2025-11-03 23:36";3;1;962;75
367;"2025-11-03 23:36";3;1;962;75
368;"2025-11-04 17:24";6;0;962;79
369;"2025-11-04 18:24";5;0;962;82
370;"2025-11-04 19:24";5;0;962;82
371;"2025-11-04 20:25";4;0;962;82
372;"2025-11-04 21:25";4;1;962;82
373;"2025-11-04 22:25";3;1;962;80
374;"2025-11-04 23:25";3;1;962;76
375;"2025-11-04 00:25";3;1;962;73
376;"2025-11-05 01:26";3;1;962;69
377;"2025-11-05 02:26";3;0;961;66
378;"2025-11-05 03:26";3;1;962;65
379;"2025-11-05 04:27";2;0;962;78
380;"2025-11-05 05:27";2;0;962;79
381;"2025-11-05 06:27";2;0;962;76
382;"2025-11-05 07:28";3;0;962;76
383;"2025-11-05 08:28";5;0;962;78
384;"2025-11-05 09:28";7;0;962;70
385;"2025-11-05 10:28";9;0;962;67
386;"2025-11-05 11:28";10;0;960;67
387;"2025-11-05 12:28";11;0;960;68
388;"2025-11-05 13:28";11;0;960;68
389;"2025-11-05 14:28";11;0;959;70
390;"2025-11-05 15:28";10;0;958;79
391;"2025-11-05 16:28";8;0;958;81
392;"2025-11-05 16:28";8;0;958;81
393;"2025-11-05 18:28";5;1;958;81
394;"2025-11-05 19:29";5;0;958;77
395;"2025-11-05 20:29";5;0;958;77
396;"2025-11-05 21:29";4;0;958;79
397;"2025-11-05 22:29";4;0;958;79
398;"2025-11-05 23:29";3;0;958;78
399;"2025-11-05 00:30";3;0;958;75
400;"2025-11-06 01:30";3;0;957;76
401;"2025-11-06 02:30";2;1;956;78
402;"2025-11-06 03:30";3;1;956;76
403;"2025-11-06 03:30";3;1;956;76
404;"2025-11-06 05:31";2;1;956;76
405;"2025-11-06 05:31";2;1;956;76
406;"2025-11-06 07:31";3;1;956;75
407;"2025-11-06 07:31";3;1;956;75
408;"2025-11-06 07:31";3;1;956;75
409;"2025-11-06 10:32";9;0;954;68
410;"2025-11-06 10:32";9;0;954;68
411;"2025-11-06 10:32";9;0;954;68
412;"2025-11-06 13:32";11;1;952;64
413;"2025-11-06 13:32";11;1;952;64
414;"2025-11-06 15:32";10;1;952;74
415;"2025-11-06 15:32";10;1;952;74
416;"2025-11-06 17:33";5;1;952;89
417;"2025-11-06 17:33";5;1;952;89
418;"2025-11-06 18:42";5;1;952;88
419;"2025-11-06 19:43";4;1;953;87
420;"2025-11-06 20:38";4;0;953;85
421;"2025-11-06 21:38";3;0;953;87
422;"2025-11-06 22:38";3;0;954;87
423;"2025-11-06 23:39";2;0;954;89
424;"2025-11-06 00:39";2;0;953;89
425;"2025-11-07 01:39";1;0;953;90
426;"2025-11-07 02:39";1;0;953;88
427;"2025-11-07 03:40";1;0;952;88
428;"2025-11-07 04:40";1;0;952;91
429;"2025-11-07 05:40";1;0;952;93
430;"2025-11-07 06:40";1;0;953;94
431;"2025-11-07 07:40";1;0;954;95
432;"2025-11-07 08:41";4;0;954;93
433;"2025-11-07 09:41";6;0;954;85
434;"2025-11-07 10:41";7;1;953;79
435;"2025-11-07 11:41";8;1;952;76
436;"2025-11-07 12:41";9;1;952;73
437;"2025-11-07 13:42";8;0;952;72
438;"2025-11-07 14:42";8;1;951;71
439;"2025-11-07 15:42";7;0;951;77
440;"2025-11-07 16:42";5;0;950;87
441;"2025-11-07 17:42";4;0;952;89
442;"2025-11-07 18:42";4;0;952;89
443;"2025-11-07 19:42";4;0;952;88
444;"2025-11-07 20:42";5;0;952;87
445;"2025-11-07 20:42";5;0;952;87
446;"2025-11-07 20:42";5;0;952;87
447;"2025-11-07 20:42";5;0;952;87
448;"2025-11-07 20:42";5;0;952;87
449;"2025-11-07 20:42";5;0;952;87
450;"2025-11-08 02:43";3;0;951;97
451;"2025-11-08 02:43";3;0;951;97
452;"2025-11-08 02:43";3;0;951;97
453;"2025-11-08 02:43";3;0;951;97
454;"2025-11-08 06:44";2;0;950;98
455;"2025-11-08 06:44";2;0;950;98
456;"2025-11-08 06:44";2;0;950;98
457;"2025-11-08 06:44";2;0;950;98
458;"2025-11-08 06:44";2;0;950;98
459;"2025-11-08 06:44";2;0;950;98
460;"2025-11-08 06:44";2;0;950;98
461;"2025-11-08 13:44";8;0;949;73
462;"2025-11-08 14:45";8;1;949;72
463;"2025-11-08 15:45";7;0;950;78
464;"2025-11-08 16:45";5;0;950;84
465;"2025-11-08 17:45";4;0;950;86
466;"2025-11-08 18:45";3;1;950;88
467;"2025-11-08 19:45";3;1;951;88
468;"2025-11-08 20:45";3;1;952;89
469;"2025-11-08 21:45";2;1;952;90
470;"2025-11-08 22:45";1;1;952;95
471;"2025-11-08 23:46";1;0;952;95
472;"2025-11-08 00:46";1;0;952;95
473;"2025-11-09 01:46";1;0;954;94
474;"2025-11-09 02:46";1;0;953;95
475;"2025-11-09 03:46";0;0;954;95
476;"2025-11-09 04:46";0;0;953;94
477;"2025-11-09 04:46";0;0;953;94
478;"2025-11-09 06:47";0;1;954;93
479;"2025-11-09 07:47";1;1;954;93
480;"2025-11-09 08:47";4;0;954;89
481;"2025-11-09 09:47";7;0;954;78
482;"2025-11-09 10:20";8;0;954;73
483;"2025-11-09 11:20";9;0;954;69
